id,year,category,full_name,laureate_type,prize_share,prize,motivation,laureate_id,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
624,1952,Physics,Edward Mills Purcell,Individual,1/2,The Nobel Prize in Physics 1952,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",59.0,1912-08-30,"Taylorville, IL",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1997-03-07,"Cambridge, MA",United States of America
625,1953,Physics,Frits Zernike,Individual,1/1,The Nobel Prize in Physics 1953,"""for his demonstration of the phase contrast method, especially for his invention of the phase contrast microscope""",60.0,1888-07-16,Amsterdam,Netherlands,Male,Groningen University,Groningen,Netherlands,1966-03-10,Groningen,Netherlands
626,1954,Physics,Max Born,Individual,1/2,The Nobel Prize in Physics 1954,"""for his fundamental research in quantum mechanics, especially for his statistical interpretation of the wavefunction""",61.0,1882-12-11,Breslau (Wroclaw),Germany (Poland),Male,Edinburgh University,Edinburgh,United Kingdom,1970-01-05,Göttingen,West Germany (Germany)
627,1954,Physics,Walther Bothe,Individual,1/2,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",62.0,1891-01-08,Oranienburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,1957-02-08,Heidelberg,West Germany (Germany)
628,1954,Physics,Walther Bothe,Individual,1/2,The Nobel Prize in Physics 1954,"""for the coincidence method and his discoveries made therewith""",62.0,1891-01-08,Oranienburg,Germany,Male,Max-Planck-Institut für medizinische Forschung,Heidelberg,Federal Republic of Germany,1957-02-08,Heidelberg,West Germany (Germany)
629,1955,Physics,Willis Eugene Lamb,Individual,1/2,The Nobel Prize in Physics 1955,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",63.0,1913-07-12,"Los Angeles, CA",United States of America,Male,Stanford University,"Stanford, CA",United States of America,2008-05-15,"Tucson, AZ",United States of America
630,1955,Physics,Polykarp Kusch,Individual,1/2,The Nobel Prize in Physics 1955,"""for his precision determination of the magnetic moment of the electron""",64.0,1911-01-26,Blankenburg,Germany,Male,Columbia University,"New York, NY",United States of America,1993-03-20,"Dallas, TX",United States of America
631,1956,Physics,William Bradford Shockley,Individual,1/3,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",65.0,1910-02-13,London,United Kingdom,Male,"Semiconductor Laboratory of Beckman Instruments, Inc.","Mountain View, CA",United States of America,1989-08-12,"Palo Alto, CA",United States of America
632,1956,Physics,John Bardeen,Individual,1/3,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",66.0,1908-05-23,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,1991-01-30,"Boston, MA",United States of America
633,1956,Physics,Walter Houser Brattain,Individual,1/3,The Nobel Prize in Physics 1956,"""for their researches on semiconductors and their discovery of the transistor effect""",67.0,1902-02-10,Amoy,China,Male,Bell Telephone Laboratories,"Murray Hill, NJ",United States of America,1987-10-13,"Seattle, WA",United States of America
634,1957,Physics,Chen Ning Yang,Individual,1/2,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",68.0,1922-09-22,"Hofei, Anhwei",China,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,N/A,N/A,N/A
635,1957,Physics,Tsung-Dao (T.D.) Lee,Individual,1/2,The Nobel Prize in Physics 1957,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",69.0,1926-11-24,Shanghai,China,Male,Columbia University,"New York, NY",United States of America,N/A,N/A,N/A
636,1958,Physics,Pavel Alekseyevich Cherenkov,Individual,1/3,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",70.0,1904-07-28,Novaya Chigla,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1990-01-06,N/A,Union of Soviet Socialist Republics
637,1958,Physics,Igor Yevgenyevich Tamm,Individual,1/3,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",71.0,1895-07-08,Vladivostok,Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,1971-04-12,Moscow,Union of Soviet Socialist Republics (Russia)
638,1958,Physics,Igor Yevgenyevich Tamm,Individual,1/3,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",71.0,1895-07-08,Vladivostok,Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1971-04-12,Moscow,Union of Soviet Socialist Republics (Russia)
639,1958,Physics,Il´ja Mikhailovich Frank,Individual,1/3,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",721.0,1908-10-23,Leningrad (Saint Petersburg),Russia,Male,University of Moscow,Moscow,Union of Soviet Socialist Republics,1990-06-22,Moscow,Union of Soviet Socialist Republics (Russia)
640,1958,Physics,Il´ja Mikhailovich Frank,Individual,1/3,The Nobel Prize in Physics 1958,"""for the discovery and the interpretation of the Cherenkov effect""",721.0,1908-10-23,Leningrad (Saint Petersburg),Russia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,1990-06-22,Moscow,Union of Soviet Socialist Republics (Russia)
641,1959,Physics,Emilio Gino Segrè,Individual,1/2,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",72.0,1905-02-01,Tivoli,Italy,Male,University of California,"Berkeley, CA",United States of America,1989-04-22,"Lafayette, CA",United States of America
642,1959,Physics,Owen Chamberlain,Individual,1/2,The Nobel Prize in Physics 1959,"""for their discovery of the antiproton""",73.0,1920-07-10,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,2006-02-28,"Berkeley, CA",United States of America
643,1960,Physics,Donald Arthur Glaser,Individual,1/1,The Nobel Prize in Physics 1960,"""for the invention of the bubble chamber""",74.0,1926-09-21,"Cleveland, OH",United States of America,Male,University of California,"Berkeley, CA",United States of America,2013-02-28,"Berkeley, CA",United States of America
644,1961,Physics,Robert Hofstadter,Individual,1/2,The Nobel Prize in Physics 1961,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",75.0,1915-02-05,"New York, NY",United States of America,Male,Stanford University,"Stanford, CA",United States of America,1990-11-17,"Stanford, CA",United States of America
645,1961,Physics,Rudolf Ludwig Mössbauer,Individual,1/2,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",76.0,1929-01-31,Munich,Germany,Male,Technical University,Munich,Federal Republic of Germany,2011-09-14,N/A,N/A
646,1961,Physics,Rudolf Ludwig Mössbauer,Individual,1/2,The Nobel Prize in Physics 1961,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",76.0,1929-01-31,Munich,Germany,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,2011-09-14,N/A,N/A
647,1962,Physics,Lev Davidovich Landau,Individual,1/1,The Nobel Prize in Physics 1962,"""for his pioneering theories for condensed matter, especially liquid helium""",77.0,1908-01-22,Baku,Russian Empire (Azerbaijan),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,1968-04-01,Moscow,Union of Soviet Socialist Republics (Russia)
648,1963,Physics,Eugene Paul Wigner,Individual,1/2,The Nobel Prize in Physics 1963,"""for his contributions to the theory of the atomic nucleus and the elementary particles, particularly through the discovery and application of fundamental symmetry principles""",78.0,1902-11-17,Budapest,Austria-Hungary (Hungary),Male,Princeton University,"Princeton, NJ",United States of America,1995-01-01,"Princeton, NJ",United States of America
649,1963,Physics,Maria Goeppert Mayer,Individual,1/4,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",79.0,1906-06-28,Kattowitz (Katowice),Germany (Poland),Female,University of California,"San Diego, CA",United States of America,1972-02-20,"San Diego, CA",United States of America
650,1963,Physics,J. Hans D. Jensen,Individual,1/4,The Nobel Prize in Physics 1963,"""for their discoveries concerning nuclear shell structure""",80.0,1907-06-25,Hamburg,Germany,Male,University of Heidelberg,Heidelberg,Federal Republic of Germany,1973-02-11,Heidelberg,West Germany (Germany)
651,1964,Physics,Charles Hard Townes,Individual,1/2,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",81.0,1915-07-28,"Greenville, SC",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,2015-01-27,"Berkeley, CA",United States of America
652,1964,Physics,Nicolay Gennadiyevich Basov,Individual,1/4,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",82.0,1922-12-14,Usman,Union of Soviet Socialist Republics (Russia),Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,2001-07-01,Moscow,Russia
653,1964,Physics,Aleksandr Mikhailovich Prokhorov,Individual,1/4,The Nobel Prize in Physics 1964,"""for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",83.0,1916-07-11,Atherton,Australia,Male,P.N. Lebedev Physical Institute,Moscow,Union of Soviet Socialist Republics,2002-01-08,Moscow,Russia
654,1965,Physics,Sin-Itiro Tomonaga,Individual,1/3,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",84.0,1906-03-31,Kyoto,Japan,Male,Tokyo University of Education,Tokyo,Japan,1979-07-08,Tokyo,Japan
655,1965,Physics,Julian Schwinger,Individual,1/3,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",85.0,1918-02-12,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,1994-07-16,"Los Angeles, CA",United States of America
656,1965,Physics,Richard P. Feynman,Individual,1/3,The Nobel Prize in Physics 1965,"""for their fundamental work in quantum electrodynamics, with deep-ploughing consequences for the physics of elementary particles""",86.0,1918-05-11,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,1988-02-15,"Los Angeles, CA",United States of America
657,1966,Physics,Alfred Kastler,Individual,1/1,The Nobel Prize in Physics 1966,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",87.0,1902-05-03,Guebwiller,Germany (France),Male,École Normale Supérieure,Paris,France,1984-01-07,Bandol,France
658,1967,Physics,Hans Albrecht Bethe,Individual,1/1,The Nobel Prize in Physics 1967,"""for his contributions to the theory of nuclear reactions, especially his discoveries concerning the energy production in stars""",88.0,1906-07-02,Strassburg (Strasbourg),Germany (France),Male,Cornell University,"Ithaca, NY",United States of America,2005-03-06,"Ithaca, NY",United States of America
659,1968,Physics,Luis Walter Alvarez,Individual,1/1,The Nobel Prize in Physics 1968,"""for his decisive contributions to elementary particle physics, in particular the discovery of a large number of resonance states, made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",89.0,1911-06-13,"San Francisco, CA",United States of America,Male,University of California,"Berkeley, CA",United States of America,1988-09-01,"Berkeley, CA",United States of America
660,1969,Physics,Murray Gell-Mann,Individual,1/1,The Nobel Prize in Physics 1969,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",90.0,1929-09-15,"New York, NY",United States of America,Male,California Institute of Technology (Caltech),"Pasadena, CA",United States of America,N/A,N/A,N/A
661,1970,Physics,Hannes Olof Gösta Alfvén,Individual,1/2,The Nobel Prize in Physics 1970,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",91.0,1908-05-30,Norrköping,Sweden,Male,Royal Institute of Technology,Stockholm,Sweden,1995-04-02,Djursholm,Sweden
662,1970,Physics,Louis Eugène Félix Néel,Individual,1/2,The Nobel Prize in Physics 1970,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",92.0,1904-11-22,Lyon,France,Male,University of Grenoble,Grenoble,France,2000-11-17,Brive-Corrèze,France
663,1971,Physics,Dennis Gabor,Individual,1/1,The Nobel Prize in Physics 1971,"""for his invention and development of the holographic method""",93.0,1900-06-05,Budapest,Hungary,Male,Imperial College,London,United Kingdom,1979-02-08,London,United Kingdom
664,1972,Physics,John Bardeen,Individual,1/3,The Nobel Prize in Physics 1972,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",66.0,1908-05-23,"Madison, WI",United States of America,Male,University of Illinois,"Urbana, IL",United States of America,1991-01-30,"Boston, MA",United States of America
665,1972,Physics,Leon Neil Cooper,Individual,1/3,The Nobel Prize in Physics 1972,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",95.0,1930-02-28,"New York, NY",United States of America,Male,Brown University,"Providence, RI",United States of America,N/A,N/A,N/A
666,1972,Physics,John Robert Schrieffer,Individual,1/3,The Nobel Prize in Physics 1972,"""for their jointly developed theory of superconductivity, usually called the BCS-theory""",96.0,1931-05-31,"Oak Park, IL",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,N/A,N/A,N/A
667,1973,Physics,Leo Esaki,Individual,1/4,The Nobel Prize in Physics 1973,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",97.0,1925-03-12,Osaka,Japan,Male,IBM Thomas J. Watson Research Center,"Yorktown Heights, NY",United States of America,N/A,N/A,N/A
668,1973,Physics,Ivar Giaever,Individual,1/4,The Nobel Prize in Physics 1973,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors, respectively""",98.0,1929-04-05,Bergen,Norway,Male,General Electric Company,"Schenectady, NY",United States of America,N/A,N/A,N/A
669,1973,Physics,Brian David Josephson,Individual,1/2,The Nobel Prize in Physics 1973,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier, in particular those phenomena which are generally known as the Josephson effects""",99.0,1940-01-04,Cardiff,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,N/A,N/A,N/A
